PayrollID,EmployeeID,Month,BasicPay,Bonus
166,616,2023-06-01,34852,7672
167,104,2024-11-01,42079,9136
168,905,2024-03-01,33497,11172
169,315,2023-09-01,39603,8356
170,584,2023-12-01,79483,7990
171,1727,2023-02-01,54746,10379
172,133,2024-12-01,25170,5763
173,355,2023-09-01,21890,8284
174,1891,2023-03-01,50837,8304
175,1407,2023-03-01,20174,5459
176,1642,2024-03-01,58007,2387
177,708,2023-12-01,73322,2048
178,1000,2023-11-01,69224,4938
179,1526,2024-03-01,48324,11935
180,1812,2023-12-01,52250,10949
181,975,2024-11-01,41479,11531
182,1349,2023-03-01,36340,7258
183,1458,2023-07-01,27137,4979
184,624,2023-10-01,31823,1255
185,872,2023-04-01,69462,14421
186,684,2023-02-01,48061,3813
187,249,2024-08-01,60590,9841
188,893,2023-04-01,18454,2568
189,117,2024-08-01,24443,13105
190,1830,2023-03-01,64197,6834
191,810,2023-08-01,48567,2829
192,1088,2023-06-01,47372,4392
193,418,2024-03-01,59430,2001
194,569,2023-03-01,79415,4630
195,1512,2023-07-01,76184,11283
196,1541,2023-12-01,60285,2765
197,1336,2024-10-01,29911,1560
198,1076,2024-05-01,62943,12839
199,1120,2023-01-01,22120,12977
200,240,2024-06-01,15776,9755
201,966,2023-06-01,63939,12793
202,1340,2023-09-01,64946,1732
203,1225,2023-03-01,63351,7836
204,17,2023-07-01,56405,9159
205,1755,2023-04-01,71262,3881
206,446,2023-10-01,69280,1070
207,959,2023-03-01,23775,10576
208,1707,2024-10-01,51600,10427
209,857,2024-10-01,62245,1483
210,835,2023-06-01,33447,6554
211,1286,2023-10-01,44252,4160
212,101,2023-04-01,22931,12823
213,1185,2024-08-01,66864,14304
214,1298,2024-12-01,38027,1602
215,1248,2023-10-01,36370,2988
216,1570,2024-07-01,48331,10833
217,1248,2023-02-01,69428,1983
218,1887,2023-12-01,33846,5092
219,499,2023-02-01,22612,13880
220,1954,2024-11-01,48574,2298
221,1897,2024-09-01,28430,12200
222,36,2023-07-01,52750,13745
223,96,2023-04-01,17743,14713
224,1560,2023-01-01,51809,7164
225,1820,2023-08-01,35171,10241
226,1568,2023-07-01,67713,3421
227,1105,2023-04-01,30628,2659
228,1053,2023-12-01,58717,14455
229,670,2024-09-01,27330,5277
230,284,2023-10-01,26660,6391
231,1883,2024-08-01,71036,10515
232,1691,2024-02-01,39205,10312
233,1807,2024-10-01,61067,10937
234,1859,2024-11-01,29213,4510
235,1369,2023-08-01,79423,6613
236,1983,2024-01-01,15052,9975
237,681,2024-12-01,73768,8678
238,1838,2024-02-01,56974,11844
239,813,2023-10-01,18107,8908
240,1913,2023-03-01,71870,12389
241,228,2023-09-01,53689,7993
242,1614,2023-09-01,79976,7945
243,564,2024-07-01,69158,6070
244,1947,2024-01-01,35931,7099
245,772,2024-06-01,17222,12007
246,1553,2023-11-01,40301,12668
247,497,2024-03-01,39182,3507
248,611,2024-07-01,65746,7203
249,932,2023-12-01,51100,12936
250,1375,2023-01-01,38503,10025
251,343,2023-05-01,22155,5691
252,1939,2024-06-01,19668,14512
253,1065,2024-09-01,43818,9568
254,1484,2024-04-01,20628,3181
255,472,2024-07-01,21048,10220
256,252,2023-11-01,69821,7733
257,1349,2023-03-01,68747,4400
258,681,2023-11-01,72609,3191
259,234,2023-01-01,23907,4808
260,1339,2023-06-01,57899,10995
261,1072,2023-06-01,73591,4604
262,296,2024-03-01,27212,1773
263,357,2023-06-01,24090,5263
264,1540,2024-03-01,67637,1965
265,71,2024-04-01,30071,12173
266,33,2024-05-01,41834,4599
267,824,2024-02-01,74135,1974
268,1990,2023-03-01,69838,9063
269,747,2024-02-01,48724,6434
270,1675,2023-03-01,67811,3245
271,970,2024-01-01,54252,10797
272,1065,2024-12-01,46263,9415
273,1901,2024-02-01,43444,3721
274,562,2023-06-01,73994,11351
275,303,2024-07-01,48779,5507
276,129,2024-11-01,76431,1371
277,1805,2023-04-01,63467,2515
278,477,2024-12-01,42250,8748
279,14,2023-03-01,30533,1226
280,1395,2024-12-01,23548,7562
281,1251,2023-08-01,53888,4671
282,1844,2024-06-01,38965,6840
283,172,2023-08-01,23188,11042
284,552,2024-10-01,28186,3165
285,737,2024-01-01,43090,14655
286,8,2023-03-01,31907,1363
287,561,2024-07-01,23212,5258
288,1605,2024-01-01,39153,8968
289,1307,2023-09-01,72643,3931
290,643,2023-06-01,63790,2588
291,1963,2023-10-01,17259,13514
292,873,2024-02-01,76689,4707
293,1244,2023-01-01,74144,5598
294,1157,2024-12-01,30442,14449
295,1059,2024-09-01,33825,10167
296,1812,2023-02-01,53925,13080
297,434,2023-04-01,65540,2542
298,1086,2023-06-01,45208,7225
299,691,2023-07-01,38477,13036
300,1862,2023-07-01,56919,12903
301,281,2023-07-01,17440,1337
302,1299,2023-03-01,70862,12802
303,1073,2024-01-01,25096,4313
304,749,2023-07-01,67943,10487
305,658,2024-07-01,79647,4609
306,1945,2023-06-01,26361,6178
307,1199,2023-06-01,47414,5023
308,1921,2023-06-01,60784,3662
309,1310,2023-10-01,15858,13311
310,103,2023-12-01,26149,14382
311,573,2024-07-01,33057,3624
312,1759,2024-05-01,53158,11456
313,25,2023-05-01,48596,13126
314,790,2023-01-01,20119,14627
315,1712,2024-11-01,70154,2774
316,259,2023-12-01,24161,6308
317,1091,2024-10-01,52524,3718
318,79,2024-01-01,47145,12965
319,1138,2024-07-01,31857,2008
320,541,2024-11-01,77010,7722
321,1359,2023-11-01,62411,12771
322,640,2023-09-01,78269,3852
323,1150,2023-03-01,58183,14125
324,835,2024-08-01,43867,5455
325,933,2023-07-01,20980,4668
326,1576,2023-02-01,26939,3080
327,1850,2023-01-01,24854,6316
328,500,2023-09-01,25924,9157
329,1176,2023-11-01,28342,3933
330,1590,2023-10-01,28675,3629
331,1955,2024-04-01,71262,6494
332,679,2023-07-01,15244,2695
333,937,2023-05-01,66581,5492
334,1264,2024-10-01,49861,8597
335,846,2024-10-01,17340,6616
336,1739,2023-04-01,79841,1554
337,926,2023-11-01,21077,4031
338,402,2023-10-01,76520,5844
339,1038,2023-03-01,38238,11628
340,1347,2023-11-01,76375,7000
341,1912,2024-02-01,42065,11337
342,959,2024-06-01,64834,8561
343,822,2024-11-01,25970,13067
344,1085,2023-04-01,40796,7758
345,1153,2024-06-01,43293,13028
346,172,2023-11-01,66877,10233
347,726,2023-03-01,74398,2906
348,1721,2023-12-01,23561,6317
349,1514,2024-06-01,66618,13883
350,651,2024-08-01,32926,1144
351,379,2023-07-01,46285,1733
352,368,2023-09-01,64248,13327
353,875,2024-04-01,17257,12740
354,813,2023-10-01,21240,8438
355,1483,2024-04-01,38745,7409
356,413,2024-05-01,53925,5751
357,585,2024-12-01,50532,10898
358,1655,2024-09-01,37567,7523
359,813,2023-05-01,39620,13933
360,95,2024-01-01,55814,6555
361,1286,2024-03-01,47958,7466
362,839,2024-06-01,47987,14138
363,1769,2023-07-01,31527,9221
364,517,2023-12-01,23689,6410
365,1329,2023-10-01,20286,3955
366,1640,2024-04-01,38277,12002
367,281,2024-12-01,27071,2868
368,1296,2023-04-01,50896,7540
369,1419,2024-01-01,63025,9488
370,4,2023-03-01,20610,7709
371,52,2023-12-01,40237,3236
372,708,2024-03-01,59001,9821
373,1532,2024-08-01,61830,1183
374,1008,2023-11-01,77948,9153
375,527,2023-07-01,52981,11985
376,1023,2023-07-01,23200,4557
377,1143,2023-04-01,40016,3203
378,1887,2024-05-01,21405,3515
379,842,2024-12-01,73826,13290
380,1296,2024-01-01,26701,4973
381,996,2023-04-01,55961,9087
382,1691,2024-01-01,36860,6295
383,812,2024-11-01,56671,7575
384,443,2024-04-01,71718,13036
385,1268,2023-07-01,70896,10821
386,1331,2023-12-01,41107,2218
387,1931,2024-07-01,62623,12815
388,761,2023-01-01,33953,7006
389,1391,2023-10-01,71400,10216
390,1703,2024-05-01,22370,4188
391,71,2023-04-01,19348,2463
392,1034,2024-01-01,51124,1244
393,1576,2023-04-01,70873,5076
394,563,2024-04-01,58223,9359
395,788,2023-02-01,66587,8630
396,738,2024-09-01,62651,8794
397,512,2024-06-01,24800,7059
398,1703,2024-12-01,30405,13697
399,152,2023-11-01,66518,11169
400,647,2023-04-01,63149,8669
401,298,2024-05-01,63614,3120
402,174,2023-08-01,42133,13028
403,715,2024-08-01,29138,6224
404,43,2024-09-01,18793,2273
405,1821,2023-10-01,41732,10703
406,1508,2023-09-01,36165,2182
407,1298,2023-07-01,53687,11167
408,1805,2024-02-01,55216,8972
409,697,2023-09-01,24172,14171
410,1093,2024-02-01,31999,12270
411,546,2024-07-01,45946,8808
412,1661,2023-02-01,74664,14084
413,1028,2024-02-01,32084,8856
414,723,2023-11-01,74095,10674
415,192,2023-10-01,71453,14088
416,966,2024-10-01,78476,9090
417,1947,2023-07-01,20778,6549
418,941,2023-12-01,27374,14302
419,314,2024-01-01,44943,6229
420,616,2023-08-01,47841,6477
421,537,2024-11-01,22381,12614
422,500,2024-02-01,73214,13628
423,1579,2023-06-01,70603,4450
424,1350,2024-07-01,49374,6666
425,1341,2024-10-01,63419,14770
426,1819,2023-07-01,73861,9129
427,1000,2024-10-01,78176,9186
428,999,2023-05-01,61206,4042
429,1436,2023-05-01,42824,6571
430,1823,2024-03-01,56386,13498
431,1012,2023-11-01,75524,11199
432,1854,2023-11-01,75159,9240
433,1368,2024-06-01,37211,3171
434,1156,2023-01-01,23494,3009
435,105,2023-06-01,69780,4943
436,893,2023-02-01,37380,9883
437,1188,2024-02-01,43672,14356
438,320,2023-10-01,70674,1882
439,241,2024-07-01,36788,2893
440,1138,2023-01-01,35324,4006
441,488,2024-03-01,61856,2618
442,273,2023-09-01,50014,5352
443,159,2023-01-01,47714,11689
444,507,2024-08-01,34844,8283
445,761,2023-04-01,39678,3626
446,58,2023-08-01,44082,14128
447,684,2024-02-01,58338,3779
448,236,2023-10-01,47103,14506
449,1728,2023-02-01,24571,13170
450,1900,2023-04-01,49099,4163
451,135,2023-10-01,37506,14107
452,1452,2023-06-01,38773,3949
453,1908,2024-02-01,64361,9505
454,781,2023-10-01,57250,3463
455,1073,2024-06-01,54158,1321
456,1573,2023-02-01,39157,7485
457,678,2024-04-01,19170,8670
458,346,2024-08-01,53972,8385
459,750,2024-05-01,28514,2966
460,1678,2024-03-01,58807,4027
461,1422,2023-09-01,54177,11635
462,861,2023-01-01,28092,12976
463,1424,2023-10-01,75233,7739
464,1446,2023-02-01,20519,2395
465,908,2023-07-01,34566,8616
466,1927,2024-06-01,49766,6944
467,280,2023-07-01,21823,7747
468,1627,2023-11-01,61318,4634
469,1846,2024-04-01,39852,6946
470,1772,2023-11-01,27824,14134
471,649,2023-11-01,16095,6478
472,599,2023-09-01,62159,7036
473,1853,2024-07-01,31544,4857
474,1788,2024-01-01,51943,10707
475,892,2023-12-01,67632,2610
476,185,2024-12-01,48255,3220
477,1964,2024-06-01,42498,5020
478,1812,2024-09-01,43857,11651
479,1477,2024-11-01,38942,6759
480,1461,2024-06-01,58173,13033
481,506,2023-08-01,64518,2266
482,1934,2023-06-01,39370,6481
483,476,2023-05-01,78315,3151
484,66,2024-05-01,28798,2878
485,375,2023-11-01,59886,13409
486,117,2023-10-01,27910,2957
487,378,2024-02-01,30229,7692
488,1778,2023-09-01,35953,11150
489,513,2023-09-01,63729,3188
490,1563,2024-11-01,43027,9441
491,238,2024-12-01,53805,4101
492,393,2023-09-01,27428,6639
493,477,2023-04-01,19802,1119
494,1458,2024-07-01,64790,8682
495,1292,2024-11-01,15760,3545
496,1412,2023-03-01,61595,1702
497,230,2024-08-01,46241,10188
498,497,2024-03-01,67698,11186
499,1028,2023-03-01,59895,8762
500,1172,2023-12-01,56633,10544
501,314,2023-07-01,42425,12579
502,116,2024-05-01,50737,13239
503,1370,2023-11-01,77534,4292
504,1721,2024-02-01,22814,1367
505,46,2023-04-01,71916,10507
506,1999,2024-06-01,21554,9645
507,1956,2024-01-01,63538,5199
508,1347,2024-07-01,44180,4702
509,115,2023-04-01,58068,4481
510,1838,2023-02-01,18219,2751
511,493,2024-07-01,42321,9487
512,277,2024-05-01,69351,11712
513,1108,2024-02-01,49504,8453
514,1780,2024-10-01,22097,12687
515,443,2023-09-01,39707,11165
516,1204,2023-05-01,50913,14566
517,936,2023-10-01,27163,12627
518,1403,2024-09-01,55607,8756
519,1918,2024-03-01,27044,7554
520,697,2024-08-01,37209,11217
521,1063,2023-01-01,69145,9470
522,1000,2024-08-01,37426,5542
523,986,2024-02-01,23752,1292
524,952,2024-10-01,51240,14727
525,1884,2023-11-01,73298,9277
526,1922,2024-09-01,22844,14779
527,1113,2024-04-01,24209,7349
528,350,2024-09-01,31900,10221
529,1338,2023-11-01,62173,7488
530,662,2023-05-01,69296,8211
531,814,2024-02-01,66820,13520
532,1813,2024-04-01,41471,8991
533,1805,2024-10-01,35765,11006
534,60,2024-10-01,15871,13325
535,887,2023-04-01,69712,3703
536,19,2023-04-01,27671,14334
537,744,2023-09-01,21191,12548
538,1340,2023-02-01,47078,11827
539,671,2023-03-01,56090,3949
540,1093,2024-05-01,48516,2434
541,1108,2024-03-01,51549,7845
542,1017,2024-08-01,29080,10231
543,294,2023-08-01,29607,3017
544,1528,2023-02-01,62193,5285
545,595,2023-07-01,37267,2550
546,981,2023-09-01,40182,5365
547,1658,2023-12-01,40821,2140
548,1512,2024-12-01,58342,2821
549,1056,2023-09-01,72702,13905
550,884,2024-10-01,20538,9791
551,1873,2023-06-01,55611,12225
552,1125,2024-04-01,56726,10531
553,372,2024-11-01,76500,12603
554,170,2023-02-01,58555,6574
555,1297,2024-02-01,29238,8981
556,1254,2024-02-01,62336,14156
557,178,2023-05-01,66088,7799
558,1991,2024-10-01,67520,2288
559,602,2023-10-01,73439,12375
560,232,2023-03-01,35246,5620
561,1777,2023-12-01,54190,1960
562,1971,2024-09-01,66383,2887
563,1340,2023-07-01,25359,11412
564,419,2024-07-01,49377,10937
565,169,2024-02-01,15238,4990
566,527,2023-11-01,49651,4011
567,936,2023-06-01,32090,2028
568,744,2023-07-01,33126,6097
569,1138,2023-09-01,17642,14118
570,885,2024-07-01,49555,2727
571,9,2023-07-01,31476,8696
572,506,2024-06-01,29898,3083
573,32,2024-03-01,74193,9087
574,161,2024-10-01,70609,12382
575,1440,2023-12-01,69108,9016
576,276,2024-12-01,77365,3218
577,1961,2023-04-01,28696,13889
578,1516,2023-06-01,78397,13828
579,1915,2023-01-01,35847,6599
580,1910,2023-12-01,19395,11030
581,451,2023-05-01,53187,6066
582,640,2024-10-01,51800,1562
583,1061,2023-09-01,36174,6639
584,1787,2024-04-01,46634,9493
585,921,2024-12-01,79249,7770
586,337,2024-08-01,30375,12109
587,810,2023-08-01,71473,12729
588,1970,2023-02-01,73907,5843
589,800,2023-03-01,78190,14493
590,1494,2024-09-01,34661,2814
591,1121,2024-03-01,40583,9238
592,488,2023-04-01,72663,1676
593,471,2024-12-01,49098,12018
594,1871,2024-09-01,59637,10157
595,1098,2024-03-01,23742,1538
596,1305,2023-02-01,32548,2052
597,448,2024-12-01,43697,13808
598,1863,2024-03-01,57847,8367
599,159,2023-02-01,58268,11288
600,1557,2024-09-01,21008,9870
601,12,2024-08-01,50567,1299
602,53,2024-10-01,24104,1909
603,1682,2024-11-01,31804,8935
604,136,2024-09-01,57544,6221
605,1285,2023-10-01,68350,9930
606,1098,2024-10-01,73818,5487
607,1322,2024-02-01,27431,3170
608,177,2024-12-01,23738,3098
609,829,2024-10-01,73869,1769
610,977,2024-03-01,29360,8383
611,836,2023-10-01,23726,6842
612,1101,2023-09-01,78034,9356
613,1359,2024-10-01,28891,8070
614,1166,2024-11-01,70618,13422
615,1613,2023-09-01,70358,1847
616,1676,2024-04-01,43547,7180
617,1976,2023-02-01,64431,7673
618,1478,2023-12-01,36302,5251
619,1592,2023-01-01,51839,3040
620,878,2024-06-01,59565,1239
621,1767,2024-12-01,66566,2417
622,893,2023-03-01,60386,5092
623,1229,2024-02-01,53263,14611
624,132,2023-06-01,17002,5484
625,290,2023-02-01,51991,11353
626,349,2024-11-01,25573,1035
627,1728,2024-04-01,77295,4533
628,1794,2023-10-01,35000,7993
629,1197,2023-04-01,69307,6064
630,1005,2023-10-01,76776,7893
631,1642,2023-04-01,16464,4643
632,881,2024-10-01,71808,4133
633,797,2024-04-01,37084,13516
634,1887,2024-10-01,34196,5514
635,944,2023-06-01,26976,8245
636,1716,2023-06-01,71602,13542
637,1618,2023-10-01,74814,6962
638,208,2024-08-01,64983,4624
639,1067,2024-08-01,43695,3188
640,1691,2023-06-01,35481,10786
641,998,2023-05-01,76394,1590
642,1450,2024-12-01,64761,4657
643,1159,2024-12-01,55206,4687
644,1329,2023-04-01,69647,14088
645,280,2024-12-01,50945,8594
646,455,2023-08-01,30101,9702
647,1527,2024-08-01,33086,7264
648,927,2024-11-01,79928,7565
649,1139,2024-01-01,19764,7554
650,1969,2024-11-01,65183,13266
651,1439,2023-01-01,48634,4882
652,453,2024-10-01,49526,8018
653,125,2024-09-01,39475,6495
654,242,2023-02-01,37002,10616
655,282,2023-12-01,65877,8575
656,745,2024-05-01,32994,5498
657,1153,2024-11-01,63260,10402
658,493,2024-03-01,42810,10038
659,1224,2024-09-01,57055,5422
660,252,2023-06-01,58505,11619
661,1361,2023-01-01,18257,14632
662,150,2023-08-01,17499,3553
663,652,2024-11-01,53576,1343
664,1921,2023-12-01,71747,11663
665,516,2024-03-01,78484,4702
666,425,2023-05-01,72026,11980
667,1509,2023-05-01,52917,3634
668,671,2023-03-01,49726,11558
669,1113,2023-02-01,39662,4553
670,1638,2024-11-01,32743,13970
671,1498,2023-12-01,69074,8753
672,1339,2024-11-01,18121,3276
673,232,2023-06-01,72311,12840
674,931,2023-06-01,79703,14198
675,719,2024-08-01,16052,8228
676,1373,2024-08-01,77989,14018
677,1991,2024-09-01,67541,3179
678,842,2023-04-01,65941,7970
679,1060,2023-05-01,29902,13550
680,756,2023-12-01,28984,6103
681,1586,2024-09-01,71821,14047
682,1531,2024-08-01,16843,12732
683,1129,2023-03-01,57739,14470
684,1850,2023-01-01,69395,2989
685,1858,2023-05-01,51991,3183
686,630,2023-03-01,50363,10343
687,200,2023-02-01,25482,5914
688,1473,2023-01-01,35447,1129
689,1191,2024-01-01,27615,2853
690,1087,2023-06-01,66879,1715
691,77,2024-02-01,67151,11451
692,1098,2023-11-01,38102,4975
693,810,2024-08-01,41889,2321
694,1674,2024-06-01,69959,10429
695,243,2023-01-01,45714,11508
696,983,2024-01-01,34050,4447
697,1897,2024-10-01,70166,6905
698,1647,2023-06-01,79085,6147
699,714,2024-10-01,32131,6528
700,1132,2023-05-01,47855,14282
701,1386,2023-12-01,26328,8257
702,1038,2023-03-01,60232,10694
703,1955,2024-04-01,40927,9886
704,143,2024-05-01,65524,3893
705,1557,2024-05-01,23365,8843
706,1420,2023-08-01,17460,14330
707,791,2024-02-01,24400,9501
708,482,2023-03-01,62673,11792
709,1496,2024-02-01,62583,14197
710,226,2023-12-01,61245,9046
711,745,2024-10-01,65322,5954
712,491,2024-06-01,57465,8398
713,514,2023-12-01,28624,11514
714,585,2023-11-01,79708,9675
715,897,2024-11-01,29631,10726
716,1678,2024-03-01,59857,14562
717,287,2023-04-01,56093,7175
718,1680,2024-12-01,31600,11828
719,667,2023-02-01,38203,13326
720,1283,2023-01-01,59058,10845
721,716,2023-04-01,53667,6261
722,542,2024-03-01,31407,4289
723,316,2024-11-01,49441,5483
724,12,2023-05-01,16183,8219
725,758,2023-09-01,40609,9969
726,1774,2023-11-01,51245,14387
727,1431,2023-06-01,67157,12856
728,1608,2023-01-01,47794,11634
729,254,2023-09-01,32110,4594
730,1863,2024-10-01,53462,8015
731,1737,2023-07-01,75314,13709
732,272,2023-11-01,47920,10934
733,1962,2024-09-01,71434,7762
734,782,2023-04-01,52099,14271
735,1199,2024-12-01,44413,7849
736,1184,2024-01-01,29682,9088
737,950,2024-08-01,78089,14403
738,1634,2024-03-01,63070,1761
739,980,2024-06-01,66629,5043
740,309,2023-04-01,40522,13950
741,116,2023-02-01,23827,3374
742,38,2023-10-01,75782,7103
743,407,2023-12-01,68383,13707
744,1252,2024-04-01,31171,8421
745,1755,2024-08-01,21755,1070
746,633,2023-03-01,46137,13296
747,1914,2024-05-01,76370,1819
748,1128,2023-01-01,31747,1986
749,1958,2024-06-01,31143,3576
750,859,2023-12-01,46579,7562
751,347,2023-02-01,55046,1616
752,855,2023-09-01,49849,5156
753,1753,2024-05-01,66805,7835
754,1767,2024-11-01,43685,12521
755,53,2023-02-01,29418,9182
756,551,2023-09-01,23474,5264
757,1613,2024-09-01,40693,13321
758,335,2024-09-01,25994,8075
759,954,2023-03-01,45887,4470
760,1659,2023-06-01,20236,12850
761,1572,2023-01-01,42382,10670
762,762,2024-04-01,28866,11585
763,577,2023-08-01,51594,10274
764,536,2023-09-01,60240,1585
765,1671,2024-02-01,50466,9661
766,575,2023-06-01,71850,8342
767,1678,2023-07-01,20999,7633
768,387,2023-01-01,53155,12824
769,1300,2024-10-01,57076,7826
770,1617,2023-09-01,16109,1364
771,65,2024-03-01,34588,10835
772,769,2024-12-01,60224,10276
773,1256,2023-03-01,34519,9160
774,1471,2024-12-01,73670,3400
775,832,2024-10-01,73487,6741
776,5,2023-04-01,67396,7077
777,397,2024-08-01,52046,11252
778,370,2024-10-01,77994,1122
779,1480,2024-07-01,44169,8217
780,583,2023-08-01,74018,8569
781,337,2024-07-01,61553,10874
782,1353,2024-01-01,39337,3301
783,518,2024-12-01,50962,1919
784,565,2024-11-01,24112,10104
785,48,2023-06-01,55396,10718
786,1047,2024-06-01,18807,9709
787,305,2024-10-01,20852,11764
788,793,2023-08-01,27292,10926
789,1873,2024-02-01,59645,12216
790,1336,2024-09-01,78574,6453
791,737,2024-07-01,60557,7170
792,29,2023-04-01,68757,4373
793,590,2023-01-01,25793,11619
794,174,2024-11-01,22503,5809
795,1122,2023-04-01,45502,7739
796,859,2023-07-01,78406,12874
