country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",17-11-2025 09:00,22.977134,72.553024,PM10,115,213,168
India,Delhi,Delhi,"Rohini, Delhi - DPCC",17-11-2025 09:00,28.732528,77.11992,PM2.5,233,500,401
India,Delhi,Delhi,"Rohini, Delhi - DPCC",17-11-2025 09:00,28.732528,77.11992,PM10,160,440,351
India,Delhi,Delhi,"Rohini, Delhi - DPCC",17-11-2025 09:00,28.732528,77.11992,NO2,19,93,56
India,Delhi,Delhi,"Rohini, Delhi - DPCC",17-11-2025 09:00,28.732528,77.11992,CO,27,106,82
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",17-11-2025 09:00,28.6514781,77.1473105,SO2,5,25,15
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",17-11-2025 09:00,28.6514781,77.1473105,OZONE,7,42,10
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",17-11-2025 09:00,28.710508,77.249485,NO2,23,91,55
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",17-11-2025 09:00,28.531346,77.190156,PM2.5,217,407,328
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",17-11-2025 09:00,23.002657,72.591912,SO2,33,52,44
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",17-11-2025 09:00,23.016834,72.625775,PM2.5,62,226,111
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",17-11-2025 09:00,23.016834,72.625775,NH3,2,5,2
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",17-11-2025 09:00,23.016834,72.625775,OZONE,2,83,46
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",17-11-2025 09:00,23.041137,72.456691,PM10,58,182,108
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",17-11-2025 09:00,23.041137,72.456691,OZONE,3,65,12
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",17-11-2025 09:00,28.2068,76.7997,NO2,11,40,29
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",17-11-2025 09:00,28.39072,77.30059,PM2.5,290,301,296
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",17-11-2025 09:00,28.39072,77.30059,NO2,24,27,25
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",17-11-2025 09:00,28.39072,77.30059,SO2,8,8,8
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",17-11-2025 09:00,28.376058,77.315741,CO,12,80,51
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",17-11-2025 09:00,22.969611,72.6435,PM2.5,17,87,47
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",17-11-2025 09:00,22.969611,72.6435,PM10,44,130,84
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",17-11-2025 09:00,22.969611,72.6435,CO,10,26,12
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",17-11-2025 09:00,30.379589,76.778328,PM10,132,216,173
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",17-11-2025 09:00,30.379589,76.778328,OZONE,48,53,50
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",17-11-2025 09:00,28.56789,77.250515,NO2,32,121,73
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",17-11-2025 09:00,28.56789,77.250515,SO2,16,52,29
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",17-11-2025 09:00,28.530785,77.271255,PM2.5,203,416,352
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",17-11-2025 09:00,28.530785,77.271255,CO,41,106,80
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",17-11-2025 09:00,28.623763,77.287209,NH3,8,12,11
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",17-11-2025 09:00,28.674045,77.131023,NO2,28,79,54
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",17-11-2025 09:00,28.674045,77.131023,NH3,4,5,4
India,Delhi,Delhi,"Pusa, Delhi - DPCC",17-11-2025 09:00,28.639652,77.146275,NO2,65,194,111
India,Delhi,Delhi,"Pusa, Delhi - IMD",17-11-2025 09:00,28.63611,77.173332,NO2,11,131,70
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",17-11-2025 09:00,28.806223,76.141105,PM10,76,326,125
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",17-11-2025 09:00,28.806223,76.141105,OZONE,9,19,14
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",17-11-2025 09:00,28.593883,76.270653,SO2,10,12,11
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",17-11-2025 09:00,28.4417,77.3217,CO,58,65,62
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",17-11-2025 09:00,28.4417,77.3217,OZONE,17,19,18
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",17-11-2025 09:00,29.503664,75.467934,PM2.5,143,391,302
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",17-11-2025 09:00,29.503664,75.467934,NH3,13,15,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",17-11-2025 09:00,29.503664,75.467934,SO2,2,44,19
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",17-11-2025 09:00,28.4227,77.0667,CO,23,33,27
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",17-11-2025 09:00,28.4227,77.0667,OZONE,8,51,23
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",17-11-2025 09:00,28.4275,77.1465,NO2,2,44,15
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",17-11-2025 09:00,29.14056,75.744941,PM2.5,49,136,87
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",17-11-2025 09:00,29.14056,75.744941,PM10,110,179,149
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",17-11-2025 09:00,23.80569,86.44268,OZONE,2,41,9
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",17-11-2025 09:00,23.707909,86.41467,PM10,NA,NA,NA
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB",17-11-2025 09:00,23.707909,86.41467,OZONE,2,4,3
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",17-11-2025 09:00,16.172806,75.659694,PM2.5,35,36,35
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",17-11-2025 09:00,16.172806,75.659694,NH3,1,2,1
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB",17-11-2025 09:00,16.172806,75.659694,OZONE,10,16,15
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",17-11-2025 09:00,12.9135218,77.5950804,OZONE,23,24,23
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",17-11-2025 09:00,29.14056,75.744941,CO,55,105,56
India,Haryana,Jind,"Police Lines, Jind - HSPCB",17-11-2025 09:00,29.307814,76.337619,NO2,12,14,13
India,Haryana,Jind,"Police Lines, Jind - HSPCB",17-11-2025 09:00,29.307814,76.337619,CO,4,152,63
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",17-11-2025 09:00,29.8006,76.4155,OZONE,10,28,13
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",17-11-2025 09:00,29.6953,77.0027,PM2.5,76,285,183
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",17-11-2025 09:00,29.6953,77.0027,CO,41,58,49
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",17-11-2025 09:00,29.0272,77.0621,PM10,144,331,236
India,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",17-11-2025 09:00,30.1480566,77.2893471,NH3,9,10,10
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",17-11-2025 09:00,30.943887,76.801991,OZONE,14,193,30
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",17-11-2025 09:00,23.80569,86.44268,SO2,22,109,68
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",17-11-2025 09:00,28.060249,76.113115,NH3,3,8,5
